Num_Acc;catr;voie;v1;circ;nbv;vosp;prof;pr;pr1;plan;larrout;surf;infra;situ;vma
536537312;1;A55-Sens Martigues vers Marseille;0;1;2;0;1;22;719;1;10;1;0;1;90
536537313;1;ROCADE A 630;0;3;6;0;4;4;360;1;-1;1;2;1;70
536537314;1;1;0;3;4;0;1;11;199;1;;2;0;1;110
536537315;1;AUTOROUTE A15;0;3;6;0;1;13;;1;-1;2;0;1;110
536537316;1;AUTOROUTE A1;0;3;6;0;1;17;120;1;-1;2;0;1;110
536537317;1;4;0;1;4;0;1;10;500;2;-1;3;0;1;90
536537318;4;;;3;3;2;1;-1;-1;3;-1;1;;1;50
536537319;4;;;3;3;0;1;-1;-1;1;-1;1;5;1;30
536537320;4;;;3;4;3;1;-1;-1;1;-1;1;;1;50
536537321;4;;;2;2;2;1;-1;-1;1;-1;1;5;1;50
536537322;4;;;3;4;2;1;-1;-1;1;-1;1;5;1;50
536537323;4;;;2;2;0;1;-1;-1;1;-1;1;0;1;50
536537324;4;;;2;2;0;1;-1;-1;1;-1;1;0;1;30
536537325;4;PORTE DE SAINT CLOUD;0;1;4;0;1;10;400;2;-1;1;0;1;70
536537326;2;LIGNE DES BAMBOUS(ROUTE);0;2;2;0;1;57;90;1;-1;1;2;1;50
536537327;2;RN2 DIRECTION ST BENT SORTIE PETIT BAZAR;0;1;4;0;1;28;200;3;-1;2;0;1;90
536537328;3;CHARLERY (GUSTAVE);0;2;2;0;1;-1;-1;1;-1;1;0;8;50
536537328;3;MONTABO (ROUTE DE) 1;0;2;2;0;1;0;390;1;-1;1;0;1;50
536537329;1;AUTOROUTE A1;0;1;3;3;1;2;99;1;-1;1;0;6;90
536537330;2;REDOUTE (ROUTE DE LA);0;2;2;0;2;4;650;2;-1;1;0;1;50
536537330;2;ROCADE BEL HORIZON (RUE);0;2;2;0;2;-1;-1;1;-1;1;5;1;50
536537331;3;ROUTE DE BOISVINS;0;2;2;0;1;-1;-1;1;-1;1;9;1;50
536537332;4;MATHERON LUCIEN;0;1;1;0;1;0;0;1;-1;2;9;1;30
536537333;3;BD GAMBETTA;0;2;2;0;2;3;550;1;-1;2;0;1;50
536537334;4;JACQUES PREVERT (RUE);0;2;2;0;1;0;800;1;-1;1;0;1;50
536537335;3;ROGER GUICHARD (AVENUE);0;1;1;0;1;28;140;1;-1;2;0;1;30
536537335;3;ROGER GUICHARD (AVENUE);0;1;1;0;2;28;140;1;-1;2;0;1;50
536537336;3;BRETELLE D ACCES CD 35;0;1;1;1;2;0;0;2;-1;1;3;1;45
536537337;3;GUE (RUE DU);0;2;2;0;2;0;0;1;-1;1;0;1;50
536537337;3;JEAN JAURES (AVENUE);0;2;2;0;1;0;0;1;-1;1;0;1;50
536537338;3;GENERAL DE GAULLE (AVENUE DU);0;3;4;0;1;0;0;1;-1;1;0;1;50
536537339;4;FRANCOIS 1ER (RUE);0;2;2;0;1;0;0;1;-1;1;0;1;30
536537340;4;15EME CORPS (AVE DU);0;2;1;0;1;0;0;1;-1;1;0;1;50
536537343;4;ALLENDE (AV.SALVADOR);0;3;4;0;1;0;0;1;-1;2;0;1;50
536537343;4;PREVERT (QUAI JACQUES);0;1;2;0;1;0;0;3;-1;2;0;1;50
536537344;3;RD607 de Barbizon à pavé du roi;0;1;2;0;1;18;173;3;7;1;0;1;90
536537345;4;BASTIN (RUE ALFRED);0;2;2;0;1;0;1;1;-1;1;5;1;50
536537345;4;FERRY (AVENUE JULES);0;2;2;0;1;0;1;1;-1;1;5;1;50
536537346;4;MOLE (RUE DU);0;2;2;0;1;0;1;1;-1;1;0;1;50
536537347;7;JEAN JAURES                         (AV);0;2;4;0;1;2;300;1;5;1;0;6;50
536537348;4;CAMILLE ROUSSET                     (AV);0;2;2;1;1;-1;-1;1;-1;2;0;1;50
536537349;7;BISCHWILLER (ROUTE DE);0;2;2;0;1;-1;-1;1;-1;1;0;1;30
536537350;4;AHETZE (ROUTE);0;2;2;0;1;-1;-1;2;-1;1;0;1;50
536537352;4;GRENET (AVENUE HENRI);0;2;4;0;4;-1;-1;2;-1;1;0;1;50
536537353;4;LAPORTE (AVENUE JEAN LEON);0;2;4;0;1;-1;-1;1;-1;1;0;1;30
536537354;4;FLANDRES (RESIDENCE DES);0;2;2;1;1;0;0;1;-1;1;0;1;30
536537355;4;UNION (RUE DE L');0;1;1;0;1;-1;-1;1;-1;1;5;1;50
536537356;7;REPUBLIQUE AV DE LA ( N°501-825);0;3;4;3;1;1;200;1;-1;2;0;1;70
536537357;3;29;;2;2;;1;0;1;3;-1;1;5;1;30
536537357;3;BASE DE SOUS-MARINS ( RD PT DE LA );0;1;3;0;1;4;330;3;;1;5;1;30
536537358;3;GUIRIEL ( ET IMP. DU );0;2;2;0;1;-1;-1;1;-1;1;0;1;30
536537358;3;LIBERATION ( AV. DE LA );0;2;2;0;2;95;700;1;-1;1;0;1;50
536537359;4;VALERY PAUL RUE ET SQUARE;0;1;1;0;1;-1;-1;1;-1;1;0;1;30
536537360;7;;;3;4;;1;-1;-1;1;-1;1;0;1;50
536537360;7;Rue Eugène Vignat;0;2;2;0;1;-1;-1;1;0;1;0;1;50
536537361;3;ANTIBES (AVENUE D');0;2;2;0;2;1;300;1;-1;1;0;1;50
536537363;4;OURSEL (RUE DU DOCTEUR);0;1;1;0;1;0;0;1;-1;1;0;1;50
536537364;4;BARRAULT RUE JEAN LOUIS (301);0;2;2;0;1;-1;-1;1;-1;1;0;1;30
536537364;4;CHABEUIL AVENUE DE (102);0;1;1;1;1;-1;-1;1;-1;1;0;1;30
536537365;3;Point du Jour  (rue du);0;2;2;0;1;39;590;1;7;1;0;1;70
536537366;4;;0;2;2;0;1;-1;-1;1;-1;1;0;1;50
536537366;4;;0;2;2;0;1;-1;-1;2;-1;1;0;1;50
536537368;4;OBSERVATOIRE AVENUE DE L';0;2;3;2;3;0;0;1;-1;1;0;1;50
536537369;4;BLANC (Chemin de);0;2;2;0;1;0;0;1;-1;1;0;1;30
536537369;4;VIGNERO (Allée des);0;2;2;0;1;0;0;1;-1;1;0;1;30
